laptop id,company,product,typename,inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,Price_euros
L1587,HP,Pavilion 15,Notebook,14.5,2880x1800 IPS Touchscreen 2.8K,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4070,Windows 11,1.82,2028.78
L1588,Acer,Swift 15,Business,13.6,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.73,2185.14
L1589,Samsung,Galaxy Book 15,Workstation,14,3840x2160 Touchscreen 4K UHD,Ryzen 7 8840U,32GB,AMD Radeon 780M,Windows 11,1.41,1444.14
L1590,Apple,MacBook Pro Pro,Business,14,3840x2160 IPS 4K UHD,Apple M3 Pro,8GB,Apple M3 10‑core GPU,macOS,1.43,1465.03
L1591,Huawei,MateBook X X1,Netbook,13.6,3840x2160 IPS Touchscreen 4K UHD,Core i7-13700H,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,1.56,3544.93
L1592,HP,EliteBook Plus,Netbook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,24GB,Intel Arc iGPU,Windows 11,1.3,1266.02
L1593,Apple,MacBook Pro G16,Notebook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Apple M3 Pro,24GB,Apple M3 10‑core GPU,macOS,1.33,1750.49
L1594,LG,Ultra PC 15,Notebook,16,1920x1080 IPS Touchscreen Full HD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 3050,Windows 11,2.25,1790.53
L1595,Microsoft,Surface Laptop Studio,2 in 1 Convertible,17,2560x1440 IPS Quad HD,Core i9-13900H,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.75,3005.19
L1596,Microsoft,Surface Laptop Studio Pro,Business,15,3200x2000 IPS Touchscreen 3.2K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4050,Windows 11,1.96,2626.21
L1597,MSI,Creator X1,2 in 1 Convertible,14.5,3200x2000 IPS 3.2K,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.84,1675.41
L1598,Microsoft,Surface Laptop X1,Chromebook,13.3,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,48GB,Intel Iris Xe,Windows 11,1.27,1779.97
L1599,Microsoft,Surface Pro 16,2 in 1 Convertible,13.6,1920x1080 IPS Full HD,Core i5-13500H,32GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.68,2034.04
L1600,Lenovo,ThinkPad T 13,Notebook,16,1920x1080 Touchscreen Full HD,Ryzen 7 7840U,16GB,Intel Arc iGPU,Windows 11 Pro,1.84,1271.89
L1601,ASUS,ROG Zephyrus 16,Workstation,16.1,3200x2000 IPS Touchscreen 3.2K,Core i9-13900H,64GB,Intel Iris Xe,ChromeOS,1.98,2880.39
L1602,Gigabyte,AERO 16,Business,13.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 7840U,48GB,AMD Radeon 780M,Windows 11 Pro,1.35,1829.71
L1603,HP,OMEN 14,2 in 1 Convertible,15.6,3200x2000 IPS Touchscreen 3.2K,Ryzen 5 7640U,24GB,Intel Iris Xe,ChromeOS,1.58,1219.97
L1604,Huawei,MateBook 14 16,Ultrabook,14,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 5 7640U,16GB,AMD Radeon 760M,Windows 11,1.32,1015.64
L1605,MSI,Modern,Business,16,2560x1440 Touchscreen Quad HD,Core i7-1360P,8GB,Intel Iris Xe,Windows 11,1.83,1405.76
L1606,Toshiba,Dynabook Tecra Plus,Notebook,13.3,3840x2160 IPS 4K UHD,Core Ultra 7 155H,16GB,NVIDIA GeForce RTX 4050,Windows 11,1.5,1644.1
L1607,HP,Envy 7,Netbook,16.1,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7840U,8GB,Apple M3 10‑core GPU,Windows 11,1.99,1055.42
L1608,Razer,Blade Stealth,Gaming,16.1,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,24GB,AMD Radeon 780M,ChromeOS,1.92,1537.82
L1609,Acer,Predator Helios Pro,Workstation,15,2560x1600 IPS WQXGA (HD quality),Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.86,3227.48
L1610,Avita,Pura G16,Business,16,2560x1440 IPS Quad HD,Ryzen 7 7840U,8GB,AMD Radeon 760M,Windows 11,1.76,1102.96
L1611,Apple,MacBook Air 13,Business,14,2560x1600 IPS Touchscreen WQXGA (HD quality),Apple M3 Max,8GB,Apple M3 10‑core GPU,macOS,1.34,1788.52
L1612,Toshiba,Dynabook Tecra X1,Business,13.3,2560x1440 IPS Quad HD,Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,Windows 11,1.22,1095.88
L1613,Apple,MacBook Air 13,Notebook,16,2880x1800 IPS 2.8K,Apple M3 Pro,32GB,Apple M3 10‑core GPU,macOS,1.71,2048.45
L1614,Razer,Blade G16,Gaming,14,2560x1600 Touchscreen WQXGA (HD quality),Core Ultra 9 185H,16GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.55,2344.35
L1615,Huawei,MateBook X 15,Notebook,15.6,3200x2000 Touchscreen 3.2K,Core i7-1360P,64GB,AMD Radeon 760M,Windows 11,1.7,2541.21
L1616,LG,Ultra PC X1,Workstation,16,3000x2000 IPS 3K,Ryzen 7 8840U,32GB,Intel Arc iGPU,Windows 11,1.88,1772.75
L1617,Samsung,Galaxy Book Pro Pro,Chromebook,16,3000x2000 IPS 3K,Ryzen 9 7940HS,8GB,Intel Iris Xe,ChromeOS,1.84,1460.18
L1618,Gigabyte,AERO Pro,Workstation,14.5,3840x2160 IPS 4K UHD,Core Ultra 7 165H,16GB,NVIDIA GeForce RTX 4060,Windows 11,1.81,1778.68
L1619,Huawei,MateBook 14 7,2 in 1 Convertible,14,2560x1440 IPS Touchscreen Quad HD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Windows 11,1.31,1319.2
L1620,Toshiba,Dynabook Portege 7,Business,14,2560x1600 IPS WQXGA (HD quality),Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.72,1640.98
L1621,HP,Spectre x360 Plus,Notebook,15,3200x2000 IPS 3.2K,Core i5-13500H,48GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.9,2114.3
L1622,Dell,Alienware m Plus,Gaming,13.3,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Windows 11 Pro,1.29,1386.49
L1623,MSI,Prestige 7,Netbook,16,3000x2000 IPS Touchscreen 3K,Core Ultra 9 185H,48GB,Intel Arc iGPU,Windows 11 Pro,1.86,2678.01
L1624,Lenovo,ThinkPad T 14,Business,14,2560x1440 Touchscreen Quad HD,Ryzen 9 7940HS,32GB,NVIDIA GeForce RTX 3050,Windows 11,1.91,1968.84
L1625,Samsung,Galaxy Book 7,Ultrabook,14.5,3000x2000 Touchscreen 3K,Core Ultra 9 185H,32GB,AMD Radeon 780M,Windows 11,1.47,2183.5
L1626,HP,Pavilion 13,Ultrabook,16.1,3840x2160 IPS Touchscreen 4K UHD,Ryzen 5 7640U,16GB,AMD Radeon 760M,Windows 11 Pro,1.89,1158.62
L1627,Microsoft,Surface Laptop X1,Chromebook,16,2560x1440 Touchscreen Quad HD,Core i5-13500H,16GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,2.08,1737.67
L1628,LG,Ultra PC 16,Business,13.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 8840U,24GB,Apple M3 10‑core GPU,Windows 11,1.21,1490.29
L1629,Razer,Blade Stealth Plus,Workstation,13.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 5 7640U,48GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.19,1736.67
L1630,Huawei,MateBook 14 15,Gaming,16,3840x2160 Touchscreen 4K UHD,Ryzen 7 7840U,16GB,Intel Iris Xe,Windows 11 Pro,1.88,1223.19
L1631,Dell,Inspiron Pro,Notebook,13.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 3050,Windows 11,1.55,1716.37
L1632,Avita,Liber V 14,2 in 1 Convertible,17,3200x2000 Touchscreen 3.2K,Ryzen 7 8840U,16GB,Intel Iris Xe,Windows 11 Pro,2.25,1300.49
L1633,Dell,Alienware m Pro,Gaming,14,2560x1440 Touchscreen Quad HD,Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,ChromeOS,1.31,1270.43
L1634,Apple,MacBook Pro 13,2 in 1 Convertible,15,3000x2000 IPS Touchscreen 3K,Apple M3 Pro,32GB,Apple M3 10‑core GPU,macOS,1.51,2027.19
L1635,Razer,Blade Stealth X1,Ultrabook,15.6,3000x2000 Touchscreen 3K,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 4070,Windows 11,2.31,2281.55
L1636,Samsung,Galaxy Book 15,Business,13.6,1920x1080 IPS Touchscreen Full HD,Core Ultra 7 165H,32GB,NVIDIA GeForce RTX 4070,Windows 11,1.63,2421.43
L1637,Samsung,Galaxy Book3 Pro,Business,15,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,24GB,AMD Radeon 780M,Ubuntu 24.04,1.47,1445.59
L1638,ASUS,TUF Gaming X1,Workstation,13.3,1920x1080 IPS Full HD,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 4070,Ubuntu 22.04,1.48,2089.27
L1639,MSI,Creator 16,Netbook,13.6,2560x1440 IPS Quad HD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Ubuntu 24.04,1.38,1220.64
L1640,Gigabyte,AORUS 15,Business,17,2880x1800 IPS 2.8K,Core i7-1360P,32GB,Intel Arc iGPU,Windows 11 Pro,2.1,1861.87
L1641,Lenovo,ThinkPad X Plus,Workstation,15,2560x1440 IPS Quad HD,Ryzen 5 7640U,16GB,Intel Arc iGPU,Ubuntu 24.04,1.6,1080.27
L1642,Huawei,MateBook 14 15,Ultrabook,15,3200x2000 IPS 3.2K,Core i5-1340P,64GB,Apple M3 10‑core GPU,Windows 11 Pro,1.58,2227.08
L1643,Samsung,Galaxy Book3 7,Chromebook,14,3840x2160 Touchscreen 4K UHD,Ryzen 7 7840U,48GB,AMD Radeon 780M,Windows 11 Pro,1.33,1735.14
L1644,Apple,MacBook Pro G16,Ultrabook,16.1,2560x1440 Touchscreen Quad HD,Apple M3 Max,64GB,Apple M3 10‑core GPU,macOS,1.9,3148.42
L1645,Apple,MacBook Pro 7,2 in 1 Convertible,15,3200x2000 IPS 3.2K,Apple M3 Pro,48GB,Apple M3 10‑core GPU,macOS,1.62,2348.96
L1646,Apple,MacBook Air 13,Gaming,15,2560x1600 IPS WQXGA (HD quality),Apple M2,16GB,Apple M2 10‑core GPU,macOS,1.64,1355.99
L1647,Microsoft,Surface Pro 14,Netbook,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i7-13700H,16GB,Intel Iris Xe,Windows 11,2.21,1717.2
L1648,Samsung,Galaxy Book Pro 16,Business,16.1,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 5 7640U,64GB,AMD Radeon 780M,Windows 11 Pro,1.95,2149.15
L1649,LG,Gram 15,Ultrabook,17,3000x2000 IPS Touchscreen 3K,Core i7-1360P,64GB,Apple M3 10‑core GPU,Ubuntu 24.04,2.12,2674.64
L1650,Lenovo,ThinkPad T 14,Business,13.3,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7735HS,32GB,AMD Radeon 780M,Windows 11 Pro,1.32,1418.03
L1651,Microsoft,Surface Laptop 13,Chromebook,14.5,3200x2000 IPS 3.2K,Ryzen 9 7940HS,16GB,Intel Iris Xe,Windows 11,1.42,1637.62
L1652,Microsoft,Surface Laptop 7,Gaming,15,3840x2160 IPS 4K UHD,Ryzen 7 8840U,24GB,Apple M3 10‑core GPU,Windows 11,1.64,1590.62
L1653,Lenovo,ThinkPad T 7,Gaming,14.5,3200x2000 Touchscreen 3.2K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.95,3188.31
L1654,Razer,Blade,Business,15.6,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,64GB,Apple M3 10‑core GPU,Windows 11 Pro,1.75,2195.52
L1655,Huawei,MateBook X 13,Chromebook,16,2880x1800 Touchscreen 2.8K,Ryzen 7 7840U,48GB,Apple M3 10‑core GPU,Windows 11,1.87,1947.36
L1656,Samsung,Galaxy Book3 13,Netbook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Core i9-13900H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,ChromeOS,1.82,3521.79
L1657,Toshiba,Dynabook Tecra Pro,Workstation,17,3000x2000 Touchscreen 3K,Ryzen 7 7840U,48GB,Intel Arc iGPU,Ubuntu 22.04,2.24,1901.82
L1658,HP,Envy Plus,Business,13.6,2560x1440 IPS Quad HD,Core i7-1360P,64GB,Intel Arc iGPU,Windows 11,1.22,2393.72
L1659,Gigabyte,G6 13,Gaming,13.3,3200x2000 Touchscreen 3.2K,Core i5-13500H,32GB,Apple M3 10‑core GPU,Windows 11,1.16,1456.2
L1660,Lenovo,Yoga 14,Gaming,16,3000x2000 IPS Touchscreen 3K,Core Ultra 9 185H,24GB,Apple M3 10‑core GPU,Windows 11 Pro,1.83,2148.97
L1661,Samsung,Galaxy Book 15,Netbook,13.3,2880x1800 Touchscreen 2.8K,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 22.04,1.79,3146.06
L1662,Samsung,Galaxy Book 7,Chromebook,14.5,3200x2000 IPS 3.2K,Core Ultra 9 185H,8GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.91,2046.47
L1663,LG,Gram Pro,Chromebook,14.5,3000x2000 Touchscreen 3K,Ryzen 7 8840U,8GB,AMD Radeon 780M,Windows 11,1.37,1059.93
L1664,Dell,Latitude 7,Ultrabook,13.6,3840x2160 IPS 4K UHD,Core i7-1360P,8GB,Intel Iris Xe,Windows 11 Pro,1.21,1431.61
L1665,MSI,Pulse Plus,Notebook,13.3,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 3050,Ubuntu 22.04,1.64,2354.56
L1666,LG,Ultra PC G16,Business,17,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,48GB,Intel Arc iGPU,ChromeOS,2.3,2406.52
L1667,MSI,Katana 16,Ultrabook,13.6,2880x1800 IPS 2.8K,Core i7-1360P,32GB,Intel Iris Xe,Ubuntu 22.04,1.36,1726.16
L1668,Samsung,Galaxy Book Pro 7,Gaming,14,3200x2000 Touchscreen 3.2K,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 22.04,1.76,3207.88
L1669,Acer,TravelMate G16,Workstation,14,3840x2160 IPS 4K UHD,Core Ultra 7 165H,24GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.75,1952.17
L1670,MSI,Katana,Chromebook,14.5,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.96,2640.82
L1671,LG,Gram 7,Workstation,13.6,2880x1800 IPS 2.8K,Ryzen 5 7640U,24GB,Intel Arc iGPU,ChromeOS,1.37,1230
L1672,LG,Gram X1,Notebook,15,1920x1080 IPS Full HD,Ryzen 7 8840U,64GB,AMD Radeon 760M,Windows 11,1.59,2303.17
L1673,Microsoft,Surface Laptop 7,Chromebook,15,1920x1080 IPS Touchscreen Full HD,Core Ultra 7 165H,48GB,NVIDIA GeForce RTX 4050,ChromeOS,1.96,2519.7
L1674,Toshiba,Dynabook Portege,Business,14,1920x1080 IPS Touchscreen Full HD,Core i5-13500H,32GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.93,1753.83
L1675,Apple,MacBook Air 15,2 in 1 Convertible,15,2560x1440 IPS Quad HD,Apple M3,16GB,Apple M3 10‑core GPU,macOS,1.48,1400.86
L1676,Lenovo,IdeaPad Slim Plus,Ultrabook,13.6,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4070,Windows 11,1.6,2779.85
L1677,Acer,Aspire 16,Workstation,16,1920x1080 Touchscreen Full HD,Ryzen 5 7640U,48GB,Intel Iris Xe,Windows 11 Pro,1.71,1739.53
L1678,MSI,Creator X1,Workstation,14,3840x2160 Touchscreen 4K UHD,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4070,Ubuntu 24.04,1.65,2801.7
L1679,Acer,Nitro Plus,Netbook,15.6,3000x2000 IPS 3K,Core i7-13700H,64GB,NVIDIA GeForce RTX 4060,Ubuntu 24.04,2,2940.55
L1680,Gigabyte,G5,Gaming,15.6,2560x1600 IPS WQXGA (HD quality),Core i5-1340P,24GB,AMD Radeon 780M,Ubuntu 24.04,1.65,1343.47
L1681,Avita,Liber V Plus,Ultrabook,15,2880x1800 IPS 2.8K,Core Ultra 7 155H,24GB,AMD Radeon 780M,Windows 11,1.52,1682.69
L1682,Razer,Blade 14,Netbook,13.6,1920x1080 Touchscreen Full HD,Ryzen 7 7735HS,48GB,NVIDIA GeForce RTX 4060,Windows 11,1.74,2251.82
L1683,Acer,Predator Helios 15,Chromebook,16.1,3200x2000 Touchscreen 3.2K,Ryzen 5 7640U,48GB,Intel Iris Xe,Windows 11 Pro,1.9,1707.77
L1684,Huawei,MateBook 14 Pro,Chromebook,14.5,1920x1080 Touchscreen Full HD,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.83,1852.07
L1685,Gigabyte,AERO 7,Notebook,17,2880x1800 IPS 2.8K,Core i5-13500H,64GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.77,2922.85
L1686,Microsoft,Surface Pro,Gaming,16,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 9 185H,64GB,NVIDIA GeForce RTX 4060,Windows 11,1.91,3444.01
L1687,Apple,MacBook Air 15,Netbook,15.6,3200x2000 IPS 3.2K,Apple M3 Pro,16GB,Apple M3 10‑core GPU,macOS,1.58,1706.32
L1688,Dell,Latitude 14,Ultrabook,16,2880x1800 Touchscreen 2.8K,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4060,Windows 11,2.1,2272.23
L1689,Avita,Liber V 15,Gaming,14,2560x1440 IPS Quad HD,Ryzen 5 7640U,8GB,AMD Radeon 780M,Windows 11,1.29,772.89
L1690,Acer,Nitro 14,Ultrabook,13.6,3200x2000 IPS Touchscreen 3.2K,Core Ultra 7 155H,8GB,AMD Radeon 780M,Windows 11,1.23,1213.13
L1691,Lenovo,ThinkPad T G16,Gaming,17,2880x1800 IPS 2.8K,Core Ultra 7 165H,16GB,AMD Radeon 780M,Windows 11 Pro,2.24,1553.32
L1692,Lenovo,IdeaPad Slim 14,Business,15,3840x2160 Touchscreen 4K UHD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.76,2407.09
L1693,Gigabyte,G5 15,Business,16.1,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7840U,24GB,Apple M3 10‑core GPU,Windows 11 Pro,1.84,1431.35
L1694,Lenovo,IdeaPad Slim X1,Notebook,15.6,3200x2000 IPS 3.2K,Ryzen 9 7940HS,24GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.65,1736.64
L1695,HP,Pavilion 15,Ultrabook,16,2880x1800 Touchscreen 2.8K,Core i5-1340P,32GB,AMD Radeon 780M,Windows 11 Pro,1.87,1620.74
L1696,HP,Pavilion 7,Workstation,16,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 7840U,24GB,Intel Iris Xe,Windows 11 Pro,1.73,1452.39
L1697,Gigabyte,G5 15,Gaming,15,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 3050,Windows 11,1.8,2433.83
L1698,Avita,Pura 15,2 in 1 Convertible,15.6,2560x1600 IPS WQXGA (HD quality),Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4070,Windows 11,1.94,2894.99
L1699,HP,Pavilion Plus,Chromebook,14.5,3000x2000 IPS Touchscreen 3K,Core i5-13500H,8GB,NVIDIA GeForce RTX 4050,Windows 11,1.77,1216.98
L1700,Lenovo,Yoga 13,Ultrabook,14.5,1920x1080 Touchscreen Full HD,Core i7-13700H,16GB,NVIDIA GeForce RTX 4070,Windows 11,1.98,2139.76
L1701,Toshiba,Dynabook Portege Pro,Ultrabook,17,2560x1440 Touchscreen Quad HD,Ryzen 7 7735HS,16GB,NVIDIA GeForce RTX 3050,ChromeOS,2.5,1559.87
L1702,Gigabyte,G6 X1,Gaming,15.6,3200x2000 Touchscreen 3.2K,Core Ultra 7 165H,32GB,AMD Radeon 780M,Windows 11 Pro,1.59,1886.07
L1703,Razer,Blade 7,Gaming,15,1920x1080 IPS Full HD,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 3050,ChromeOS,1.82,1811.33
L1704,MSI,Creator Plus,Chromebook,13.6,3000x2000 Touchscreen 3K,Ryzen 5 7640U,32GB,Apple M3 10‑core GPU,Windows 11 Pro,1.23,1244.42
L1705,Dell,Vostro 13,Gaming,15.6,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 7 155H,32GB,Intel Iris Xe,Windows 11 Pro,1.7,1934.41
L1706,Gigabyte,AERO 15,2 in 1 Convertible,14.5,2560x1600 Touchscreen WQXGA (HD quality),Core i7-13700H,64GB,NVIDIA GeForce RTX 4070,Windows 11,1.99,3123.29
L1707,ASUS,Zenbook Plus,Workstation,13.6,3200x2000 IPS 3.2K,Core i5-13500H,32GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.77,1682.06
L1708,ASUS,ExpertBook Plus,Notebook,13.3,1920x1080 Touchscreen Full HD,Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4070,Ubuntu 22.04,1.62,1764.29
L1709,Dell,Alienware m Plus,Ultrabook,14.5,2560x1600 IPS WQXGA (HD quality),Core Ultra 9 185H,24GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.1,2497.24
L1710,Lenovo,ThinkPad X X1,Ultrabook,16.1,3000x2000 IPS Touchscreen 3K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.23,3361.18
L1711,Avita,Liber V 7,Notebook,14.5,2560x1440 IPS Touchscreen Quad HD,Core i5-1340P,8GB,Intel Iris Xe,Windows 11 Pro,1.48,900.56
L1712,Avita,Liber V 16,Notebook,13.6,2560x1440 IPS Touchscreen Quad HD,Ryzen 7 8840U,24GB,Intel Iris Xe,ChromeOS,1.38,1229.76
L1713,Avita,Liber V X1,Chromebook,17,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,32GB,Intel Iris Xe,Windows 11,2.21,1655.32
L1714,Apple,MacBook Pro 16,Notebook,16,1920x1080 IPS Touchscreen Full HD,Apple M3 Pro,16GB,Apple M3 10‑core GPU,macOS,1.75,1679.73
L1715,Acer,Predator Helios,Notebook,14.5,1920x1080 Touchscreen Full HD,Core i7-1360P,8GB,AMD Radeon 760M,Windows 11 Pro,1.54,1224.12
L1716,Dell,Vostro Pro,Workstation,15.6,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7840U,64GB,AMD Radeon 760M,Windows 11,1.55,2352.29
L1717,ASUS,TUF Gaming 13,Chromebook,17,3000x2000 IPS Touchscreen 3K,Ryzen 7 7735HS,48GB,AMD Radeon 780M,Windows 11 Pro,2.2,1977.66
L1718,Razer,Blade,Ultrabook,15.6,1920x1080 IPS Touchscreen Full HD,Ryzen 9 7940HS,32GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.12,2648.93
L1719,HP,OMEN 13,Chromebook,14,2880x1800 Touchscreen 2.8K,Core i7-1360P,32GB,AMD Radeon 780M,Windows 11 Pro,1.42,1741.93
L1720,LG,Gram 13,Workstation,15,1920x1080 IPS Full HD,Core i5-13500H,48GB,NVIDIA GeForce RTX 4070,Ubuntu 24.04,1.81,2707.86
L1721,Gigabyte,AERO,Ultrabook,16,2880x1800 IPS Touchscreen 2.8K,Core i5-1340P,8GB,AMD Radeon 760M,Windows 11,1.7,1102.99
L1722,Lenovo,Legion 13,Notebook,15.6,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 7 165H,16GB,NVIDIA GeForce RTX 4050,Windows 11,1.97,1771.24
L1723,Toshiba,Dynabook Tecra Pro,2 in 1 Convertible,15.6,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,8GB,AMD Radeon 780M,Windows 11 Pro,1.64,954.33
L1724,Lenovo,IdeaPad Slim 13,Notebook,14.5,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i7-1360P,16GB,AMD Radeon 780M,ChromeOS,1.54,1480.59
L1725,HP,EliteBook Plus,Gaming,13.3,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,64GB,AMD Radeon 780M,ChromeOS,1.26,1875.32
L1726,Gigabyte,G6 Pro,2 in 1 Convertible,13.3,2560x1440 IPS Touchscreen Quad HD,Core Ultra 7 155H,8GB,Intel Arc iGPU,Windows 11 Pro,1.2,1210.04
L1727,Acer,Aspire Pro,Notebook,15,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,24GB,Intel Iris Xe,Windows 11,1.47,1686.29
L1728,Microsoft,Surface Pro 15,Ultrabook,16,2560x1440 Touchscreen Quad HD,Ryzen 7 7735HS,64GB,Intel Arc iGPU,Windows 11,1.79,2396.07
L1729,Dell,Inspiron 13,2 in 1 Convertible,16.1,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7735HS,48GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.52,2477.01
L1730,ASUS,Zenbook Pro,Workstation,14,3000x2000 IPS Touchscreen 3K,Core i5-13500H,48GB,Apple M3 10‑core GPU,Windows 11 Pro,1.32,1719.92
L1731,Razer,Blade Stealth,Business,13.6,3200x2000 IPS 3.2K,Ryzen 7 8840U,32GB,AMD Radeon 760M,Windows 11 Pro,1.34,1578.26
L1732,Avita,Liber V 13,Business,15.6,2560x1440 Touchscreen Quad HD,Ryzen 5 7640U,16GB,AMD Radeon 760M,Windows 11,1.61,1126.86
L1733,Apple,MacBook Air 13,Ultrabook,17,2560x1600 IPS WQXGA (HD quality),Apple M3 Max,64GB,Apple M3 10‑core GPU,macOS,2.18,3099.79
L1734,LG,Ultra PC 16,Workstation,15,2880x1800 Touchscreen 2.8K,Core i7-1360P,8GB,Apple M3 10‑core GPU,Windows 11,1.5,1468.31
L1735,ASUS,VivoBook 15,Workstation,17,1920x1080 IPS Full HD,Ryzen 5 7640U,32GB,Intel Iris Xe,Windows 11 Pro,2.17,1502.5
L1736,MSI,Pulse 13,Netbook,17,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,48GB,Intel Arc iGPU,Windows 11 Pro,2.21,1899.25
L1737,HP,Pavilion 14,Netbook,16.1,1920x1080 IPS Full HD,Core Ultra 9 185H,64GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.33,3380.28
L1738,Acer,TravelMate 14,Business,14.5,1920x1080 Touchscreen Full HD,Core Ultra 7 165H,48GB,NVIDIA GeForce RTX 4050,ChromeOS,1.95,2307.54
L1739,Dell,Vostro 16,Gaming,14,3840x2160 IPS 4K UHD,Core i5-1340P,8GB,AMD Radeon 760M,Windows 11,1.43,1096.69
